ID (for name),Name and abbreviation,CAS no.,EC / List no.,Health effects,Environmental effects,Status,Regulatory Field,Year,Appears on lists,Source list,List category,IsomericSMILES,InChIKey
358,"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2- (4-MBC)",36861-47-9,253-242-6,Yes,,List III National Authority evaluation,,2021,List I,List I,List I,CC1=CC=C(C=C1)C=C2C3CCC(C2=O)(C3(C)C)C,HEOCBCNFKCOKBX-UHFFFAOYSA-N
358,"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2- (4-MBC)",36861-47-9,253-242-6,Yes,,Health candidate list,REACH,2022,List I,List I,List I,CC1=CC=C(C=C1)C=C2C3CCC(C2=O)(C3(C)C)C,HEOCBCNFKCOKBX-UHFFFAOYSA-N
358,"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2- (4-MBC)",36861-47-9,253-242-6,Yes,,Commission EDC list,Cosmetics,2019,List I,List I,List I,CC1=CC=C(C=C1)C=C2C3CCC(C2=O)(C3(C)C)C,HEOCBCNFKCOKBX-UHFFFAOYSA-N
360,"(1R,3E,4S)-1,7,7-trimethyl-3-(4- methylbenzylidene)bicyclo[2.2.1]heptan-2-one (4-MBC)",95342-41-9,,Yes,,Health candidate list,REACH,2022,List I,List I,List I,CC1=CC=C(C=C1)/C=C/2\[C@H]3CC[C@@](C2=O)(C3(C)C)C,HEOCBCNFKCOKBX-RELGSGGGSA-N
364,"(1R,3Z,4S)-1,7,7-trimethyl-3-(4- methylbenzylidene)bicyclo[2.2.1]heptan-2-one (4-MBC)",852541-21-0,,Yes,,Health candidate list,REACH,2022,List I,List I,List I,CC1=CC=C(C=C1)/C=C\2/[C@H]3CC[C@@](C2=O)(C3(C)C)C,HEOCBCNFKCOKBX-LBONJMQPSA-N
362,"(1R,4S)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one (4-MBC)",741687-98-9,,Yes,,Health candidate list,REACH,2022,List I,List I,List I,CC1=CC=C(C=C1)C=C2[C@H]3CC[C@@](C2=O)(C3(C)C)C,HEOCBCNFKCOKBX-QAPCUYQASA-N
363,"(1S,3E,4R)-1,7,7-trimethyl-3-(4- methylbenzylidene)bicyclo[2.2.1]heptan-2-one (4-MBC)",852541-30-1,,Yes,,Health candidate list,REACH,2022,List I,List I,List I,CC1=CC=C(C=C1)/C=C/2\[C@@H]3CC[C@](C2=O)(C3(C)C)C,HEOCBCNFKCOKBX-OYEVUCPFSA-N
361,"(1S,3Z,4R)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one (4-MBC)",852541-25-4,,Yes,,Health candidate list,REACH,2022,List I,List I,List I,CC1=CC=C(C=C1)/C=C\2/[C@@H]3CC[C@](C2=O)(C3(C)C)C,HEOCBCNFKCOKBX-IRELMECMSA-N
359,"(3E)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one (4-MBC)",1782069-81-1,,Yes,,Health candidate list,REACH,2022,List I,List I,List I,CC1=CC=C(C=C1)/C=C/2\C3CCC(C2=O)(C3(C)C)C,HEOCBCNFKCOKBX-SDNWHVSQSA-N
142,"1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one; 3-BC",15087-24-8,239-139-9,,Yes,Environmental candidate list,REACH,2019,List I,List I,List I,CC1(C2CCC1(C(=O)C2=CC3=CC=CC=C3)C)C,OIQXFRANQVWXJF-UHFFFAOYSA-N
346,"14-(nonylphenoxy)-3,6,9,12-tetraoxatetradecan-1-ol",26264-02-8,247-555-7,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCO,HRQQEXIVBZHHOQ-UHFFFAOYSA-N
346,"14-(nonylphenoxy)-3,6,9,12-tetraoxatetradecan-1-ol",26264-02-8,247-555-7,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCO,HRQQEXIVBZHHOQ-UHFFFAOYSA-N
