strategy,metric,AUC-ROC,AUC-PR,MCC,Bal.Acc,Sensitivity,Specificity
cluster_centroids,spearman,0.408,0.591,-0.153,0.424,0.5,0.348
cluster_centroids,pearson,0.415,0.585,-0.128,0.438,0.571,0.304
cluster_centroids,cosine,0.411,0.582,-0.128,0.438,0.571,0.304
cluster_centroids,euclidean,0.413,0.523,0.006,0.503,0.571,0.435
cluster_centroids,mahalanobis,0.247,0.486,-0.474,0.276,0.464,0.087
hybrid,spearman,0.413,0.602,-0.283,0.397,0.75,0.043
hybrid,pearson,0.405,0.589,-0.247,0.415,0.786,0.043
hybrid,cosine,0.405,0.586,-0.247,0.415,0.786,0.043
hybrid,euclidean,0.405,0.526,-0.128,0.482,0.964,0.0
hybrid,mahalanobis,0.303,0.525,0.066,0.524,0.179,0.87
individual,spearman,0.368,0.599,-0.41,0.325,0.607,0.043
individual,pearson,0.37,0.586,-0.475,0.304,0.607,0.0
individual,cosine,0.366,0.585,-0.475,0.304,0.607,0.0
individual,mahalanobis,0.357,0.53,-0.326,0.351,0.571,0.13
individual,euclidean,0.388,0.522,-0.152,0.429,0.25,0.609
