strategy,metric,AUC-ROC,AUC-PR,MCC,Bal.Acc,Sensitivity,Specificity
cluster_centroids,spearman,0.511,0.566,-0.066,0.47,0.679,0.261
cluster_centroids,pearson,0.474,0.552,-0.092,0.456,0.607,0.304
cluster_centroids,cosine,0.467,0.547,-0.239,0.391,0.607,0.174
cluster_centroids,euclidean,0.401,0.501,-0.163,0.42,0.536,0.304
cluster_centroids,mahalanobis,0.349,0.456,-0.103,0.452,0.643,0.261
hybrid,mahalanobis,0.646,0.664,0.0,0.5,0.0,1.0
hybrid,spearman,0.511,0.642,-0.168,0.426,0.679,0.174
hybrid,pearson,0.508,0.63,-0.224,0.405,0.679,0.13
hybrid,cosine,0.483,0.615,-0.15,0.44,0.75,0.13
hybrid,euclidean,0.41,0.513,-0.051,0.48,0.786,0.174
individual,cosine,0.441,0.561,-0.092,0.462,0.75,0.174
individual,pearson,0.464,0.56,-0.131,0.444,0.714,0.174
individual,spearman,0.483,0.559,0.02,0.509,0.714,0.304
individual,euclidean,0.337,0.502,-0.223,0.394,0.571,0.217
individual,mahalanobis,0.38,0.491,0.099,0.53,0.929,0.13
