compound_id,true_label,y_true,metric,strategy,score
JCP2022_010954,MC,1,cosine,individual,-0.0029267891330258256
JCP2022_010954,MC,1,cosine,cluster_centroids,-0.015521774377703718
JCP2022_010954,MC,1,cosine,hybrid,0.008390826248960065
JCP2022_010954,MC,1,pearson,individual,0.016698044489822178
JCP2022_010954,MC,1,pearson,cluster_centroids,-0.014791185913275912
JCP2022_010954,MC,1,pearson,hybrid,0.027922445575889826
JCP2022_010954,MC,1,euclidean,individual,-0.014142651302885723
JCP2022_010954,MC,1,euclidean,cluster_centroids,-0.028590509601726544
JCP2022_010954,MC,1,euclidean,hybrid,-0.006035938640716776
JCP2022_010954,MC,1,spearman,individual,0.021420932009167254
JCP2022_010954,MC,1,spearman,cluster_centroids,-0.028877005347593576
JCP2022_010954,MC,1,spearman,hybrid,-0.0014973262032085821
JCP2022_010954,MC,1,mahalanobis,individual,0.00042114259973345333
JCP2022_010954,MC,1,mahalanobis,cluster_centroids,8.871697001503463e-05
JCP2022_010954,MC,1,mahalanobis,hybrid,-0.00011802525630047987
JCP2022_012146,MC,1,cosine,individual,0.07020436641090239
JCP2022_012146,MC,1,cosine,cluster_centroids,-0.04369090301656342
JCP2022_012146,MC,1,cosine,hybrid,0.0574548864904591
JCP2022_012146,MC,1,pearson,individual,0.0752340070087063
JCP2022_012146,MC,1,pearson,cluster_centroids,-0.04757942388182118
JCP2022_012146,MC,1,pearson,hybrid,0.05352222592166217
JCP2022_012146,MC,1,euclidean,individual,-0.012834366133933961
JCP2022_012146,MC,1,euclidean,cluster_centroids,-0.082069198337755
JCP2022_012146,MC,1,euclidean,hybrid,-0.016926532147164552
JCP2022_012146,MC,1,spearman,individual,0.05664335664335668
JCP2022_012146,MC,1,spearman,cluster_centroids,0.006993006993006978
JCP2022_012146,MC,1,spearman,hybrid,0.08251748251748253
JCP2022_012146,MC,1,mahalanobis,individual,0.013864131700069698
JCP2022_012146,MC,1,mahalanobis,cluster_centroids,-0.0003778630698829473
JCP2022_012146,MC,1,mahalanobis,hybrid,-0.1906697524221468
JCP2022_012638,MC,1,cosine,individual,0.008400451301379341
JCP2022_012638,MC,1,cosine,cluster_centroids,-0.05050027736699464
JCP2022_012638,MC,1,cosine,hybrid,-0.020664887233879714
JCP2022_012638,MC,1,pearson,individual,0.006447778280290195
JCP2022_012638,MC,1,pearson,cluster_centroids,-0.048708047991667114
JCP2022_012638,MC,1,pearson,hybrid,-0.02199169563617423
JCP2022_012638,MC,1,euclidean,individual,-0.012561670656395574
JCP2022_012638,MC,1,euclidean,cluster_centroids,-0.03568936516429139
JCP2022_012638,MC,1,euclidean,hybrid,-0.006438887543939065
JCP2022_012638,MC,1,spearman,individual,-0.019565217391304374
JCP2022_012638,MC,1,spearman,cluster_centroids,-0.08646245059288535
JCP2022_012638,MC,1,spearman,hybrid,-0.01739130434782607
JCP2022_012638,MC,1,mahalanobis,individual,0.1243659660982472
JCP2022_012638,MC,1,mahalanobis,cluster_centroids,-7.096334226158404e-05
JCP2022_012638,MC,1,mahalanobis,hybrid,-0.0018510587873833376
JCP2022_021601,MC,1,cosine,individual,0.10417158768878845
JCP2022_021601,MC,1,cosine,cluster_centroids,0.14183550788358681
JCP2022_021601,MC,1,cosine,hybrid,0.09931219472293931
JCP2022_021601,MC,1,pearson,individual,0.09823358797499311
JCP2022_021601,MC,1,pearson,cluster_centroids,0.14349002732721167
JCP2022_021601,MC,1,pearson,hybrid,0.09860049863254162
JCP2022_021601,MC,1,euclidean,individual,0.0015981981762849956
JCP2022_021601,MC,1,euclidean,cluster_centroids,0.0017237288779847065
JCP2022_021601,MC,1,euclidean,hybrid,0.001158264018987748
JCP2022_021601,MC,1,spearman,individual,0.09546798029556648
JCP2022_021601,MC,1,spearman,cluster_centroids,0.07635467980295566
JCP2022_021601,MC,1,spearman,hybrid,0.06975369458128078
JCP2022_021601,MC,1,mahalanobis,individual,0.0002986016591158099
JCP2022_021601,MC,1,mahalanobis,cluster_centroids,2.7926680789554264e-05
JCP2022_021601,MC,1,mahalanobis,hybrid,-0.0001539627054680227
JCP2022_021886,MC,1,cosine,individual,0.22396028479445904
JCP2022_021886,MC,1,cosine,cluster_centroids,0.22795502281472552
JCP2022_021886,MC,1,cosine,hybrid,0.27260236196896015
JCP2022_021886,MC,1,pearson,individual,0.22557495338206146
JCP2022_021886,MC,1,pearson,cluster_centroids,0.22876841504491893
JCP2022_021886,MC,1,pearson,hybrid,0.27672599902349376
JCP2022_021886,MC,1,euclidean,individual,0.07470960965315251
JCP2022_021886,MC,1,euclidean,cluster_centroids,0.07778886781719456
JCP2022_021886,MC,1,euclidean,hybrid,0.08026102259890835
JCP2022_021886,MC,1,spearman,individual,0.20586206896551723
JCP2022_021886,MC,1,spearman,cluster_centroids,0.20911330049261084
JCP2022_021886,MC,1,spearman,hybrid,0.25133004926108377
JCP2022_021886,MC,1,mahalanobis,individual,0.0017506898607079447
JCP2022_021886,MC,1,mahalanobis,cluster_centroids,8.266837513389369e-05
JCP2022_021886,MC,1,mahalanobis,hybrid,-0.00020911155367665883
JCP2022_024079,MC,1,cosine,individual,-0.007158008368216562
JCP2022_024079,MC,1,cosine,cluster_centroids,0.031116946128014633
JCP2022_024079,MC,1,cosine,hybrid,0.025453990106900748
JCP2022_024079,MC,1,pearson,individual,-0.00782299380307605
JCP2022_024079,MC,1,pearson,cluster_centroids,0.02697244579188454
JCP2022_024079,MC,1,pearson,hybrid,0.02454270265589345
JCP2022_024079,MC,1,euclidean,individual,0.0011103707617639569
