compound_id,compound_name,n_features,overlap_with_global,jaccard_vs_global
JCP2022_010954,1-(p-Chlorobenzoyl)-5-methoxy-2-methyl-Indole-3-acetic acid,34,6,0.09836065573770492
JCP2022_012146,Cyclophosphamide,12,3,0.07142857142857142
JCP2022_012638,Phenacetin,23,5,0.09803921568627451
JCP2022_021601,Benzo(a)pyrene,29,6,0.10714285714285714
JCP2022_021886,Thiotepa,29,6,0.10714285714285714
JCP2022_024079,Terbutylazine,30,6,0.10526315789473684
JCP2022_027879,11-Aminoundecanoic acid,19,4,0.08333333333333333
JCP2022_030780,Folpet,40,4,0.057971014492753624
JCP2022_031539,Ifosfamide,33,4,0.06451612903225806
JCP2022_032132,Acrylamide,23,3,0.05660377358490566
JCP2022_034098,"1,2-Dimethyl-5-nitroimidazole",38,6,0.09230769230769231
JCP2022_034382,Uracil mustard,30,4,0.06779661016949153
JCP2022_038869,Chlorambucil,26,5,0.09259259259259259
JCP2022_041200,Urethane,14,3,0.06818181818181818
JCP2022_042812,Malathion,30,2,0.03278688524590164
JCP2022_057256,Atrazine,17,2,0.041666666666666664
JCP2022_070737,Isonicotinic acid vanillylidenehydrazide,26,2,0.03508771929824561
JCP2022_072255,Dazomet,18,2,0.04081632653061224
JCP2022_075502,Isoniazid,31,4,0.06666666666666667
JCP2022_077738,Niridazole,26,3,0.05357142857142857
JCP2022_080231,Isoprene,16,4,0.08888888888888889
JCP2022_082988,Merphalan,25,4,0.07407407407407407
JCP2022_087675,Genistein,29,4,0.06896551724137931
JCP2022_092705,Metronidazole,17,3,0.06382978723404255
JCP2022_102183,Leucomalachite green,20,5,0.10416666666666667
JCP2022_102809,Amsacrine,24,3,0.05555555555555555
JCP2022_116417,Methyleugenol,25,4,0.07407407407407407
JCP2022_116714,Furosemide,19,2,0.04
JCP2022_000438,Hexachlorophene,26,4,0.07272727272727272
JCP2022_000870,Glycolic acid,28,6,0.10909090909090909
JCP2022_012554,Cloquintocet-mexyl,12,3,0.07142857142857142
JCP2022_014767,Probenecid,29,6,0.10714285714285714
JCP2022_016996,"1,2-Propylene glycol",15,2,0.043478260869565216
JCP2022_019632,Nonanoic acid,13,2,0.045454545454545456
JCP2022_021857,Triamterene,24,3,0.05555555555555555
JCP2022_028603,Carboxin,29,3,0.05084745762711865
JCP2022_036434,Phosalone,29,4,0.06896551724137931
JCP2022_036506,Pyrazinamide,13,3,0.06976744186046512
JCP2022_044388,Isopropanol,18,3,0.0625
JCP2022_045678,6-Propyl-2-thiouracil,28,4,0.07017543859649122
JCP2022_051917,Bronopol,27,5,0.09090909090909091
JCP2022_055115,DEET,29,5,0.08771929824561403
JCP2022_060649,Nevirapine,17,3,0.06382978723404255
JCP2022_076432,Amitraz,19,4,0.08333333333333333
JCP2022_082605,N-Methyl-2-pyrrolidone,21,4,0.08
JCP2022_084136,Benfluralin,17,2,0.041666666666666664
JCP2022_093460,"3,3',5,5'-Tetrabromobisphenol A",15,2,0.043478260869565216
JCP2022_093901,Acetohexamide,19,2,0.04
JCP2022_098802,Vinylpyrrolidone,17,4,0.08695652173913043
JCP2022_101494,Metolachlor,17,5,0.1111111111111111
JCP2022_108984,Dinotefuran,24,5,0.09615384615384616
